施設名,住所,電話番号,HP URL,Instagram URL,施設タイプ,サウナイキタイID
"JavaScript is disabled","","","","","","2509"
"JavaScript is disabled","","","","","","60076"
"JavaScript is disabled","","","","","","2507"
"JavaScript is disabled","","","","","","2690"
"JavaScript is disabled","","","","","","2549"
"JavaScript is disabled","","","","","","2505"
"JavaScript is disabled","","","","","","2501"
"JavaScript is disabled","","","","","","2456"
"JavaScript is disabled","","","","","","3002"
"JavaScript is disabled","","","","","","78084"
"JavaScript is disabled","","","","","","2524"
"JavaScript is disabled","","","","","","81729"
"JavaScript is disabled","","","","","","78532"
"JavaScript is disabled","","","","","","82784"
"JavaScript is disabled","","","","","","2490"
"JavaScript is disabled","","","","","","2473"
"JavaScript is disabled","","","","","","93604"
"JavaScript is disabled","","","","","","4380"
"JavaScript is disabled","","","","","","2573"